Pair,Jaccard_Similarity
"(0, 4)",0.0546875
"(0, 8)",0.09375
"(0, 9)",0.09375
"(0, 13)",0.1484375
"(0, 18)",0.109375
"(0, 24)",0.0625
"(0, 25)",0.1015625
"(0, 26)",0.0859375
"(0, 30)",0.0390625
"(0, 34)",0.0859375
"(0, 36)",0.109375
"(0, 39)",0.0859375
"(0, 45)",0.0625
"(0, 50)",0.078125
"(0, 52)",0.0703125
"(0, 57)",0.140625
"(0, 68)",0.078125
"(0, 72)",0.0859375
"(0, 79)",0.1328125
"(0, 81)",0.1015625
"(0, 86)",0.0546875
"(0, 88)",0.125
"(0, 89)",0.125
"(0, 92)",0.078125
"(1, 98)",0.1328125
"(1, 67)",0.1015625
"(1, 35)",0.1171875
"(1, 11)",0.078125
"(1, 13)",0.078125
"(1, 79)",0.1015625
"(1, 81)",0.0625
"(1, 83)",0.0625
"(1, 20)",0.125
"(1, 86)",0.109375
"(1, 25)",0.0859375
"(2, 4)",0.125
"(2, 10)",0.0625
"(2, 12)",0.109375
"(2, 13)",0.140625
"(2, 18)",0.09375
"(2, 27)",0.125
"(2, 33)",0.1171875
"(2, 49)",0.09375
"(2, 50)",0.078125
"(2, 51)",0.0859375
"(2, 54)",0.1015625
"(2, 67)",0.109375
"(2, 68)",0.125
"(2, 70)",0.09375
"(2, 77)",0.1171875
"(2, 79)",0.1484375
"(2, 85)",0.09375
"(2, 87)",0.078125
"(2, 89)",0.1015625
"(2, 96)",0.140625
"(2, 97)",0.0859375
"(3, 4)",0.1015625
"(3, 5)",0.0859375
"(3, 9)",0.0625
"(3, 13)",0.0859375
"(3, 14)",0.078125
"(3, 19)",0.0625
"(3, 27)",0.0859375
"(3, 28)",0.09375
"(3, 29)",0.09375
"(3, 36)",0.1171875
"(3, 39)",0.0390625
"(3, 41)",0.078125
"(3, 42)",0.125
"(3, 65)",0.1171875
"(3, 67)",0.0859375
"(3, 73)",0.109375
"(3, 74)",0.1328125
"(3, 82)",0.140625
"(3, 87)",0.1796875
"(3, 95)",0.140625
"(3, 96)",0.125
"(3, 97)",0.09375
"(4, 8)",0.1171875
"(4, 10)",0.0625
"(4, 12)",0.0625
"(4, 13)",0.1328125
"(4, 18)",0.09375
"(4, 24)",0.1015625
"(4, 25)",0.0859375
"(4, 27)",0.09375
"(4, 30)",0.09375
"(4, 33)",0.1328125
"(4, 45)",0.125
"(4, 49)",0.15625
"(4, 56)",0.0625
"(4, 57)",0.078125
"(4, 67)",0.09375
"(4, 68)",0.078125
"(4, 77)",0.0625
"(4, 79)",0.15625
"(4, 86)",0.125
"(4, 88)",0.046875
"(4, 89)",0.09375
"(4, 94)",0.046875
"(4, 95)",0.09375
"(5, 96)",0.0546875
"(5, 65)",0.0546875
"(5, 97)",0.0859375
"(5, 36)",0.140625
"(5, 67)",0.0546875
"(5, 39)",0.046875
"(5, 9)",0.0546875
"(5, 42)",0.0625
"(5, 73)",0.03125
"(5, 13)",0.125
"(5, 14)",0.078125
"(5, 82)",0.1171875
"(5, 52)",0.0625
"(5, 21)",0.1015625
"(5, 27)",0.078125
"(5, 28)",0.0625
"(6, 65)",0.1328125
"(6, 66)",0.09375
"(6, 69)",0.1015625
"(6, 39)",0.0859375
"(6, 79)",0.0859375
"(6, 49)",0.15625
"(6, 26)",0.1171875
"(6, 28)",0.0625
"(6, 31)",0.0703125
"(7, 34)",0.0703125
"(7, 74)",0.046875
"(7, 28)",0.0703125
"(7, 14)",0.125
"(7, 47)",0.0625
"(7, 19)",0.0859375
"(7, 30)",0.0625
"(7, 95)",0.0859375
"(7, 23)",0.0546875
"(7, 88)",0.0625
"(7, 59)",0.0546875
"(7, 60)",0.0390625
"(7, 94)",0.109375
"(7, 31)",0.1015625
"(8, 33)",0.171875
"(8, 72)",0.09375
"(8, 44)",0.09375
"(8, 13)",0.109375
"(8, 45)",0.078125
"(8, 79)",0.1015625
"(8, 77)",0.1171875
"(8, 81)",0.15625
"(8, 52)",0.09375
"(8, 24)",0.1015625
"(8, 94)",0.0625
"(8, 62)",0.1171875
"(9, 13)",0.15625
"(9, 14)",0.1171875
"(9, 17)",0.15625
"(9, 23)",0.0703125
"(9, 24)",0.0625
"(9, 27)",0.09375
"(9, 28)",0.0546875
"(9, 36)",0.09375
"(9, 39)",0.125
"(9, 42)",0.1328125
"(9, 43)",0.09375
"(9, 64)",0.0625
"(9, 65)",0.0703125
"(9, 67)",0.078125
"(9, 68)",0.1171875
"(9, 73)",0.1015625
"(9, 79)",0.1328125
"(9, 82)",0.0546875
"(9, 93)",0.1328125
"(9, 96)",0.0625
"(9, 97)",0.0546875
"(10, 97)",0.0625
"(10, 33)",0.0625
"(10, 67)",0.0703125
"(10, 41)",0.0625
"(10, 12)",0.0625
"(10, 77)",0.046875
"(10, 78)",0.0703125
"(10, 79)",0.109375
"(10, 49)",0.0625
"(10, 22)",0.0390625
"(10, 89)",0.0625
"(10, 27)",0.0859375
"(11, 66)",0.0703125
"(11, 34)",0.0546875
"(11, 13)",0.0859375
"(11, 14)",0.1015625
"(11, 81)",0.1015625
"(11, 85)",0.0859375
"(11, 25)",0.09375
"(11, 28)",0.1015625
"(11, 29)",0.1171875
"(12, 17)",0.1328125
"(12, 24)",0.0859375
"(12, 27)",0.109375
"(12, 33)",0.078125
"(12, 39)",0.1015625
"(12, 43)",0.0703125
"(12, 49)",0.078125
"(12, 61)",0.03125
"(12, 65)",0.109375
"(12, 67)",0.078125
"(12, 72)",0.109375
"(12, 73)",0.1796875
"(12, 77)",0.0703125
"(12, 79)",0.09375
"(12, 89)",0.078125
"(13, 14)",0.1015625
"(13, 17)",0.171875
"(13, 18)",0.1796875
"(13, 20)",0.140625
"(13, 23)",0.1015625
"(13, 24)",0.1875
"(13, 25)",0.203125
"(13, 27)",0.1484375
"(13, 28)",0.0703125
"(13, 29)",0.0703125
"(13, 30)",0.0546875
"(13, 35)",0.15625
"(13, 36)",0.1484375
"(13, 37)",0.078125
"(13, 39)",0.1484375
"(13, 42)",0.109375
"(13, 43)",0.1171875
"(13, 45)",0.1171875
"(13, 50)",0.09375
"(13, 52)",0.109375
"(13, 53)",0.1484375
"(13, 54)",0.171875
"(13, 57)",0.1171875
"(13, 58)",0.1171875
"(13, 65)",0.1015625
"(13, 66)",0.1328125
"(13, 67)",0.125
"(13, 68)",0.1875
"(13, 72)",0.15625
"(13, 73)",0.140625
"(13, 77)",0.078125
"(13, 79)",0.1796875
"(13, 81)",0.1328125
"(13, 82)",0.109375
"(13, 83)",0.078125
"(13, 84)",0.046875
"(13, 85)",0.0546875
"(13, 86)",0.1015625
"(13, 88)",0.0859375
"(13, 89)",0.1015625
"(13, 96)",0.09375
"(13, 97)",0.0546875
"(14, 16)",0.0859375
"(14, 21)",0.0625
"(14, 27)",0.0703125
"(14, 28)",0.0859375
"(14, 31)",0.1796875
"(14, 34)",0.125
"(14, 36)",0.0703125
"(14, 39)",0.0859375
"(14, 42)",0.1015625
"(14, 65)",0.078125
"(14, 67)",0.1171875
"(14, 73)",0.0625
"(14, 82)",0.0390625
"(14, 96)",0.109375
"(14, 97)",0.0390625
"(15, 27)",0.0859375
"(15, 50)",0.03125
"(15, 51)",0.078125
"(16, 96)",0.125
"(16, 66)",0.0546875
"(16, 67)",0.1328125
"(16, 35)",0.1015625
"(16, 68)",0.046875
"(16, 71)",0.078125
"(16, 74)",0.109375
"(16, 42)",0.109375
"(16, 81)",0.0625
"(16, 50)",0.0234375
"(16, 82)",0.0546875
"(16, 25)",0.0703125
"(16, 27)",0.09375
"(17, 96)",0.109375
"(17, 39)",0.1171875
"(17, 72)",0.0703125
"(17, 43)",0.078125
"(17, 18)",0.125
"(17, 23)",0.0625
"(17, 24)",0.078125
"(17, 57)",0.140625
"(17, 59)",0.109375
"(18, 25)",0.203125
"(18, 26)",0.109375
"(18, 30)",0.0546875
"(18, 36)",0.109375
"(18, 37)",0.078125
"(18, 53)",0.109375
"(18, 54)",0.1484375
"(18, 57)",0.1484375
"(18, 58)",0.109375
"(18, 59)",0.0703125
"(18, 67)",0.1328125
"(18, 68)",0.125
"(18, 72)",0.078125
"(18, 82)",0.125
"(18, 84)",0.0703125
"(18, 86)",0.078125
"(18, 88)",0.140625
"(18, 89)",0.140625
"(18, 92)",0.0859375
"(19, 73)",0.078125
"(19, 42)",0.109375
"(19, 28)",0.109375
"(19, 47)",0.0703125
"(19, 30)",0.0390625
"(19, 23)",0.0234375
"(19, 88)",0.0234375
"(19, 26)",0.0703125
"(19, 59)",0.078125
"(19, 60)",0.03125
"(19, 29)",0.09375
"(19, 94)",0.0390625
"(19, 95)",0.09375
"(20, 65)",0.125
"(20, 97)",0.1015625
"(20, 98)",0.1328125
"(20, 44)",0.0859375
"(20, 79)",0.15625
"(20, 83)",0.0625
"(20, 53)",0.1171875
"(20, 84)",0.0625
"(20, 86)",0.1328125
"(20, 21)",0.0859375
"(20, 26)",0.140625
"(21, 69)",0.09375
"(22, 81)",0.03125
"(23, 24)",0.1015625
"(23, 28)",0.0390625
"(23, 30)",0.1171875
"(23, 33)",0.1171875
"(23, 43)",0.0625
"(23, 45)",0.1015625
"(23, 47)",0.0546875
"(23, 59)",0.078125
"(23, 60)",0.1171875
"(23, 82)",0.09375
"(23, 88)",0.0703125
"(23, 94)",0.0546875
"(23, 95)",0.09375
"(24, 35)",0.1171875
"(24, 40)",0.1171875
"(24, 43)",0.0625
"(24, 45)",0.109375
"(24, 46)",0.125
"(24, 52)",0.15625
"(24, 56)",0.046875
"(24, 64)",0.140625
"(24, 65)",0.09375
"(24, 66)",0.1015625
"(24, 72)",0.1328125
"(24, 73)",0.140625
"(24, 75)",0.1015625
"(24, 76)",0.1484375
"(24, 79)",0.1015625
"(24, 80)",0.15625
"(24, 81)",0.046875
"(24, 82)",0.09375
"(24, 84)",0.078125
"(24, 95)",0.1484375
"(25, 27)",0.15625
"(25, 30)",0.0546875
"(25, 31)",0.109375
"(25, 35)",0.078125
"(25, 37)",0.078125
"(25, 50)",0.0859375
"(25, 53)",0.1796875
"(25, 57)",0.140625
"(25, 67)",0.125
"(25, 68)",0.171875
"(25, 71)",0.125
"(25, 72)",0.1328125
"(25, 74)",0.0234375
"(25, 81)",0.1328125
"(25, 82)",0.1484375
"(25, 88)",0.0625
"(25, 89)",0.1015625
"(25, 95)",0.0703125
"(26, 36)",0.1328125
"(26, 74)",0.1171875
"(26, 83)",0.0859375
"(26, 84)",0.0625
"(26, 86)",0.09375
"(26, 92)",0.1171875
"(26, 31)",0.0546875
"(27, 28)",0.046875
"(27, 33)",0.109375
"(27, 35)",0.0625
"(27, 36)",0.09375
"(27, 39)",0.125
"(27, 42)",0.109375
"(27, 49)",0.171875
"(27, 50)",0.125
"(27, 51)",0.1171875
"(27, 62)",0.078125
"(27, 65)",0.1015625
"(27, 67)",0.15625
"(27, 68)",0.1171875
"(27, 71)",0.09375
"(27, 73)",0.09375
"(27, 74)",0.0546875
"(27, 76)",0.078125
"(27, 77)",0.078125
"(27, 79)",0.140625
"(27, 81)",0.1015625
"(27, 82)",0.1015625
"(27, 89)",0.1484375
"(27, 96)",0.09375
"(27, 97)",0.0625
"(28, 29)",0.078125
"(28, 30)",0.046875
"(28, 31)",0.0390625
"(28, 36)",0.0859375
"(28, 39)",0.078125
"(28, 42)",0.0625
"(28, 47)",0.09375
"(28, 49)",0.0390625
"(28, 59)",0.15625
"(28, 60)",0.0703125
"(28, 65)",0.1015625
"(28, 66)",0.0859375
"(28, 67)",0.0546875
"(28, 73)",0.1171875
"(28, 79)",0.0390625
"(28, 82)",0.0390625
"(28, 85)",0.0546875
"(28, 88)",0.03125
"(28, 94)",0.0625
"(28, 95)",0.0546875
"(28, 96)",0.0546875
"(28, 97)",0.0703125
"(29, 66)",0.1171875
"(29, 38)",0.0625
"(29, 71)",0.125
"(29, 41)",0.0703125
"(29, 42)",0.1015625
"(29, 73)",0.09375
"(29, 77)",0.0859375
"(29, 80)",0.0703125
"(29, 85)",0.0625
"(29, 62)",0.1015625
"(29, 63)",0.0703125
"(30, 47)",0.0703125
"(30, 57)",0.0703125
"(30, 59)",0.0625
"(30, 60)",0.1796875
"(30, 68)",0.03125
"(30, 88)",0.0625
"(30, 89)",0.046875
"(30, 94)",0.0546875
"(30, 95)",0.109375
"(31, 65)",0.09375
"(31, 66)",0.109375
"(31, 79)",0.0859375
"(31, 49)",0.0625
"(31, 83)",0.0546875
"(32, 33)",0.1015625
"(32, 96)",0.140625
"(32, 41)",0.1015625
"(32, 79)",0.1171875
"(32, 83)",0.0859375
"(32, 56)",0.0546875
"(32, 90)",0.0625
"(33, 36)",0.1015625
"(33, 45)",0.1015625
"(33, 49)",0.1171875
"(33, 67)",0.0859375
"(33, 77)",0.1328125
"(33, 79)",0.1171875
"(33, 82)",0.109375
"(33, 89)",0.09375
"(33, 95)",0.140625
"(33, 96)",0.078125
"(34, 50)",0.078125
"(34, 82)",0.078125
"(35, 50)",0.078125
"(35, 58)",0.125
"(35, 65)",0.1328125
"(35, 66)",0.09375
"(35, 67)",0.0859375
"(35, 68)",0.0625
"(35, 71)",0.078125
"(35, 74)",0.1015625
"(35, 81)",0.046875
"(35, 82)",0.0859375
"(35, 83)",0.171875
"(35, 98)",0.1796875
"(36, 39)",0.0859375
"(36, 42)",0.078125
"(36, 49)",0.1484375
"(36, 54)",0.1640625
"(36, 58)",0.109375
"(36, 65)",0.09375
"(36, 67)",0.1171875
"(36, 73)",0.09375
"(36, 82)",0.1015625
"(36, 83)",0.046875
"(36, 86)",0.1015625
"(36, 92)",0.09375
"(36, 96)",0.078125
"(36, 97)",0.0703125
"(37, 39)",0.0859375
"(37, 76)",0.078125
"(37, 84)",0.046875
"(37, 53)",0.1328125
"(37, 54)",0.0625
"(37, 58)",0.078125
"(38, 71)",0.046875
"(38, 41)",0.0703125
"(38, 42)",0.03125
"(38, 75)",0.1171875
"(38, 80)",0.1484375
"(38, 63)",0.0390625
"(38, 62)",0.046875
"(38, 95)",0.109375
"(39, 42)",0.0625
"(39, 43)",0.09375
"(39, 65)",0.0546875
"(39, 67)",0.078125
"(39, 73)",0.1015625
"(39, 79)",0.0859375
"(39, 82)",0.046875
"(39, 96)",0.046875
"(39, 97)",0.03125
"(40, 64)",0.1484375
"(40, 42)",0.09375
"(40, 75)",0.1171875
"(40, 76)",0.09375
"(40, 46)",0.171875
"(40, 80)",0.125
"(40, 52)",0.1015625
"(40, 84)",0.1171875
"(40, 90)",0.046875
"(40, 95)",0.1953125
"(41, 65)",0.109375
"(41, 71)",0.0859375
"(41, 42)",0.078125
"(41, 80)",0.0625
"(41, 83)",0.0546875
"(41, 56)",0.03125
"(41, 57)",0.0703125
"(41, 90)",0.0546875
"(41, 62)",0.0625
"(41, 63)",0.078125
"(42, 49)",0.125
"(42, 58)",0.078125
"(42, 62)",0.0625
"(42, 63)",0.09375
"(42, 65)",0.1484375
"(42, 67)",0.109375
"(42, 71)",0.1015625
"(42, 73)",0.1015625
"(42, 80)",0.078125
"(42, 82)",0.109375
"(42, 90)",0.09375
"(42, 96)",0.1171875
"(42, 97)",0.1171875
"(43, 83)",0.0625
"(44, 72)",0.0859375
"(44, 61)",0.0625
"(45, 72)",0.078125
"(45, 79)",0.09375
"(45, 81)",0.078125
"(45, 82)",0.1015625
"(45, 49)",0.125
"(45, 52)",0.0703125
"(45, 61)",0.109375
"(46, 64)",0.1484375
"(46, 75)",0.2578125
"(46, 76)",0.15625
"(46, 80)",0.1875
"(46, 82)",0.078125
"(46, 52)",0.1640625
"(46, 84)",0.15625
"(46, 95)",0.25
"(47, 88)",0.03125
"(47, 59)",0.1015625
"(47, 60)",0.0703125
"(47, 94)",0.0703125
"(47, 95)",0.0546875
"(49, 50)",0.1171875
"(49, 58)",0.0546875
"(49, 63)",0.125
"(49, 65)",0.09375
"(49, 66)",0.109375
"(49, 67)",0.1171875
"(49, 69)",0.125
"(49, 77)",0.078125
"(49, 79)",0.1171875
"(49, 81)",0.09375
"(49, 84)",0.0859375
"(49, 89)",0.0625
"(49, 95)",0.1484375
"(50, 67)",0.0625
"(50, 68)",0.09375
"(50, 70)",0.0234375
"(50, 71)",0.046875
"(50, 74)",0.0390625
"(50, 77)",0.0703125
"(50, 79)",0.0546875
"(50, 81)",0.125
"(50, 82)",0.0703125
"(50, 85)",0.0234375
"(50, 87)",0.0234375
"(50, 97)",0.015625
"(51, 96)",0.0625
"(52, 64)",0.15625
"(52, 72)",0.0625
"(52, 75)",0.1875
"(52, 76)",0.09375
"(52, 79)",0.109375
"(52, 81)",0.078125
"(52, 80)",0.140625
"(52, 84)",0.1015625
"(52, 95)",0.1171875
"(53, 68)",0.0859375
"(53, 70)",0.140625
"(53, 84)",0.0625
"(53, 54)",0.140625
"(53, 58)",0.125
"(53, 95)",0.078125
"(54, 67)",0.1328125
"(54, 73)",0.1484375
"(54, 83)",0.03125
"(54, 84)",0.0703125
"(54, 58)",0.125
"(54, 92)",0.09375
"(56, 83)",0.046875
"(56, 90)",0.0625
"(57, 65)",0.0703125
"(57, 89)",0.0859375
"(57, 96)",0.078125
"(57, 68)",0.0859375
"(57, 72)",0.09375
"(57, 81)",0.078125
"(57, 62)",0.1171875
"(57, 88)",0.140625
"(57, 59)",0.0625
"(58, 68)",0.1015625
"(58, 84)",0.0625
"(59, 72)",0.0625
"(59, 60)",0.078125
"(59, 88)",0.046875
"(59, 94)",0.09375
"(59, 95)",0.0390625
"(60, 64)",0.125
"(60, 73)",0.1015625
"(60, 88)",0.078125
"(60, 94)",0.078125
"(60, 95)",0.109375
"(61, 79)",0.0703125
"(62, 71)",0.0859375
"(62, 70)",0.0625
"(62, 72)",0.078125
"(62, 80)",0.1015625
"(62, 89)",0.09375
"(62, 63)",0.0546875
"(63, 97)",0.09375
"(63, 71)",0.09375
"(63, 80)",0.0546875
"(63, 95)",0.0859375
"(64, 75)",0.1328125
"(64, 76)",0.1796875
"(64, 80)",0.140625
"(64, 84)",0.09375
"(64, 91)",0.0703125
"(64, 93)",0.1171875
"(64, 95)",0.1875
"(65, 66)",0.109375
"(65, 67)",0.1015625
"(65, 71)",0.1328125
"(65, 72)",0.1640625
"(65, 73)",0.140625
"(65, 79)",0.125
"(65, 82)",0.0703125
"(65, 92)",0.125
"(65, 96)",0.1015625
"(65, 97)",0.1328125
"(66, 69)",0.109375
"(66, 79)",0.0859375
"(66, 85)",0.078125
"(67, 68)",0.078125
"(67, 71)",0.1015625
"(67, 73)",0.078125
"(67, 74)",0.1328125
"(67, 77)",0.09375
"(67, 79)",0.109375
"(67, 81)",0.109375
"(67, 82)",0.078125
"(67, 89)",0.125
"(67, 96)",0.1015625
"(67, 97)",0.109375
"(67, 98)",0.125
"(68, 71)",0.09375
"(68, 73)",0.1328125
"(68, 74)",0.046875
"(68, 77)",0.09375
"(68, 79)",0.109375
"(68, 81)",0.09375
"(68, 82)",0.1015625
"(68, 88)",0.046875
"(68, 89)",0.1015625
"(70, 97)",0.09375
"(70, 74)",0.109375
"(70, 75)",0.1640625
"(70, 76)",0.1328125
"(70, 77)",0.0859375
"(70, 79)",0.078125
"(70, 80)",0.1796875
"(70, 84)",0.1328125
"(70, 86)",0.140625
"(70, 85)",0.1640625
"(70, 87)",0.0390625
"(71, 74)",0.09375
"(71, 80)",0.0625
"(71, 81)",0.125
"(71, 82)",0.0546875
"(71, 89)",0.0859375
"(72, 73)",0.140625
"(72, 79)",0.0859375
"(72, 81)",0.0859375
"(73, 74)",0.0703125
"(73, 82)",0.0703125
"(73, 96)",0.078125
"(73, 97)",0.0625
"(74, 81)",0.0703125
"(74, 82)",0.03125
"(74, 87)",0.125
"(74, 94)",0.0703125
"(74, 97)",0.078125
"(75, 76)",0.140625
"(75, 80)",0.171875
"(75, 84)",0.09375
"(75, 95)",0.15625
"(76, 80)",0.109375
"(76, 84)",0.1953125
"(76, 90)",0.078125
"(76, 92)",0.078125
"(76, 95)",0.1640625
"(77, 79)",0.09375
"(77, 85)",0.0859375
"(77, 87)",0.0625
"(77, 89)",0.0703125
"(77, 96)",0.0625
"(77, 97)",0.0859375
"(78, 80)",0.0859375
"(79, 81)",0.09375
"(79, 83)",0.09375
"(79, 86)",0.125
"(79, 89)",0.15625
"(79, 91)",0.0625
"(79, 96)",0.1484375
"(79, 97)",0.078125
"(80, 84)",0.125
"(80, 95)",0.15625
"(81, 82)",0.0546875
"(82, 90)",0.09375
"(82, 96)",0.0703125
"(82, 97)",0.0546875
"(83, 90)",0.0390625
"(83, 86)",0.0546875
"(84, 95)",0.1328125
"(85, 97)",0.078125
"(85, 87)",0.0703125
"(86, 92)",0.125
"(87, 97)",0.078125
"(88, 89)",0.078125
"(88, 94)",0.1015625
"(88, 95)",0.0546875
"(94, 95)",0.0703125
"(96, 97)",0.1015625
"(97, 98)",0.1171875
